dataset,level,element
Strategic Missile System,2,Peculiar Support Equipment
Strategic Missile System,3,Test and Measurement Equipment
Strategic Missile System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Strategic Missile System,4,Test and Measurement Equipment (Propulsion)
Strategic Missile System,4,Test and Measurement Equipment (Electronics/Avionics)
Strategic Missile System,4,Test and Measurement Equipment (Other Major Subsystem 1...n (Specify))
Strategic Missile System,3,Support and Handling Equipment
Strategic Missile System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Strategic Missile System,4,Support and Handling Equipment (Propulsion)
Strategic Missile System,4,Support and Handling Equipment (Electronics/Avionics)
Strategic Missile System,4,Support and Handling Equipment (Other Major Subsystem 1...n (Specify))
Strategic Missile System,2,Common Support Equipment
Strategic Missile System,3,Test and Measurement Equipment
Strategic Missile System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Strategic Missile System,4,Test and Measurement Equipment (Propulsion)
Strategic Missile System,4,Test and Measurement Equipment (Electronics/Avionics)
Strategic Missile System,4,Test and Measurement Equipment (Other Major Subsystem 1...n (Specify))
Strategic Missile System,3,Support and Handling Equipment
Strategic Missile System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Strategic Missile System,4,Support and Handling Equipment (Propulsion)
Strategic Missile System,4,Support and Handling Equipment (Electronics/Avionics)
Strategic Missile System,4,Support and Handling Equipment (Other Major Subsystem 1...n (Specify))
Strategic Missile System,2,Operational/Site Activation by Site 1...n (Specify)
Strategic Missile System,3,System Assembly
Strategic Missile System,3,Contractor Technical Support
Strategic Missile System,3,Site Construction
Strategic Missile System,3,Site/Ship/Vehicle Conversion
Strategic Missile System,3,Deployment Planning
Strategic Missile System,3,Aerospace Ground Equipment
Strategic Missile System,3,Real Property Installed Equipment
Strategic Missile System,3,Interim Contractor Support (ICS)
Strategic Missile System,2,Contractor Logistics Support (CLS)
Strategic Missile System,2,Initial Spares/Repair Parts
Environmental Remediation,1,WBS for Environmental Management Project  to Conduct  a Bio-Venting Test for the Remediation of Hydrocarbon Impacted Soils
Environmental Remediation,2,System Design
Environmental Remediation,3,Initial Design
Environmental Remediation,3,Client Meeting
Environmental Remediation,3,Draft Design
Environmental Remediation,3,Client and Regulatory Agency Meeting
Environmental Remediation,3,Final Design
Environmental Remediation,2,System Installation
Environmental Remediation,3,Facility Planning Meeting
Environmental Remediation,3,Well Installation
Environmental Remediation,3,Electrical Power Drop Installation
Environmental Remediation,3,Blower and Piping Installation
Environmental Remediation,2,Soil Permeability Test
Environmental Remediation,3,System Operation Check
Environmental Remediation,3,Soil Permeability Test
Environmental Remediation,3,Test Report
Environmental Remediation,2,Initial In Situ Respiration Test
Environmental Remediation,3,In Situ Respiration Test
Environmental Remediation,3,Test Report
Environmental Remediation,2,Long-Term Bio-Venting Test
Environmental Remediation,3,Ambient Air Monitoring
Environmental Remediation,3,Operation
Environmental Remediation,3,Three-Month In Situ Respiration Test
Environmental Remediation,3,Test Report
Environmental Remediation,3,Six-month In Situ Respiration Test
Environmental Remediation,3,Test Report
Environmental Remediation,2,Confirmation Sampling
Environmental Remediation,3,Soil Boring and Sampling
Environmental Remediation,3,Data Validation
Environmental Remediation,2,Report Preparation
Environmental Remediation,3,Pre-Draft Report
Environmental Remediation,3,Client Meeting
Environmental Remediation,3,Draft Report
Environmental Remediation,3,Client and Regulatory Agency Meeting
Environmental Remediation,3,Final Report
Environmental Remediation,2,Project Management
Sea System,1,WBS for MIL-STD-811f Appendix E: Sea System
Sea System,2,Ship
Sea System,3,Hull Structure
Sea System,3,Propulsion Plant
Sea System,3,Electric Plant
Sea System,3,Command
Sea System,3,Auxiliary Systems
Sea System,3,Outfit and Furnishings
Sea System,3,Armament
Sea System,3,Total Ship Integration/Engineering
Sea System,3,Ship Assembly and Support Services
Sea System,2,Systems Engineering
Sea System,3,Software Systems Engineering
Sea System,3,Integrated Logistics Support (ILS) Systems Engineering
Sea System,3,Cybersecurity Systems Engineering
Sea System,3,Core Systems Engineering
Sea System,3,Other Systems Engineering 1...n (Specify)
Sea System,2,Program Management
Sea System,3,Software Program Management
Sea System,3,Integrated Logistics Support (ILS) Program Management
Sea System,3,Cybersecurity Management
Sea System,3,Core Program Management
Sea System,3,Other Program Management 1...n (Specify)
Sea System,2,System Test and Evaluation
Sea System,3,Developmental Test and Evaluation
Sea System,4,Cybersecurity Test and Evaluation
Sea System,4,Other DT&E Tests 1…n (Specify)
Sea System,3,Operational Test and Evaluation
Sea System,4,Cybersecurity Test and Evaluation
Sea System,4,Other OT&E Tests 1…n (Specify)
Sea System,3,Live Fire Test and Evaluation
Sea System,3,Mock-ups/System Integration Labs (SILs)
Sea System,3,Test and Evaluation Support
Sea System,3,Test Facilities
Sea System,2,Training
Sea System,3,Equipment
Sea System,4,Operator Instructional Equipment
Sea System,4,Maintainer Instructional Equipment
Sea System,3,Services
Sea System,4,Operator Instructional Services
Sea System,4,Maintainer Instructional Services
Sea System,3,Facilities
Sea System,3,Training Software 1...n (Specify)
Sea System,2,Data
Sea System,3,Data Deliverables 1...n (Specify)
Sea System,3,Data Repository
Sea System,3,Data Rights 1...n (Specify)
Sea System,2,Peculiar Support Equipment
Sea System,3,Test and Measurement Equipment
Sea System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Sea System,4,Test and Measurement Equipment (Propulsion)
Sea System,4,Test and Measurement Equipment (Electronics/Avionics)
Sea System,4,Test and Measurement Equipment (Other Major Subsystem 1...n (Specify))
Sea System,3,Support and Handling Equipment
Sea System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Sea System,4,Support and Handling Equipment (Propulsion)
Sea System,4,Support and Handling Equipment (Electronics/Avionics)
Sea System,4,Support and Handling Equipment (Other Major Subsystem 1...n (Specify))
Sea System,2,Common Support Equipment
Sea System,3,Test and Measurement Equipment
Sea System,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Sea System,4,Test and Measurement Equipment (Propulsion)
Sea System,4,Test and Measurement Equipment (Electronics/Avionics)
Sea System,4,Test and Measurement Equipment (Other Major Subsystem 1...n (Specify))
Sea System,3,Support and Handling Equipment
Sea System,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Sea System,4,Support and Handling Equipment (Propulsion)
Sea System,4,Support and Handling Equipment (Electronics/Avionics)
Sea System,4,Support and Handling Equipment (Other Major Subsystem 1...n (Specify))
Sea System,2,Operational/Site Activation by Site 1...n (Specify)
Sea System,3,System Assembly
Sea System,3,Contractor Technical Support
Sea System,3,Site Construction
Sea System,3,Site/Ship/Vehicle Conversion
Sea System,3,Interim Contractor Support (ICS)
Sea System,2,Contractor Logistics Support (CLS)
Sea System,2,Industrial Facilities
Sea System,3,Construction/Conversion/Expansion
Sea System,3,Equipment Acquisition or Modernization
Sea System,3,Maintenance (Industrial Facilities)
Sea System,2,Initial Spares and Repair Parts
Space System,1,WBS for MIL-STD-811f Appendix F: Space System
Space System,2,SEIT/PM and Support Equipment
Space System,3,Systems Engineering
Space System,3,Assembly
Space System,3,Program Management
Space System,3,Support Equipment
Space System,2,Space Vehicle 1...n (Specify)
Space System,3,SEIT/PM and Support Equipment
Space System,4,Systems Engineering
Space System,4,Assembly
Space System,4,Program Management
Space System,4,Support Equipment
Space System,3,Bus
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Structures and Mechanisms Subsystem (SMS)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Structures
Space System,5,Mechanisms and Pyrotechnics
Space System,5,SMS Other
Space System,4,Thermal Control Subsystem (TCS)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Cryogenic Devices
Space System,5,Liquid Loops
Space System,5,Electric Coolers
Space System,5,Heaters
Space System,5,Passive Devices
Space System,5,TCS Other
Space System,4,Electrical Power Subsystem (EPS)
Space System,5,SEPM 
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Solar Array
Space System,5,Solar Array Positioner
Space System,5,Radioisotope Thermionic Generator
Space System,5,Other Power Sources
Space System,5,Power Control
Space System,5,Power Conditioning
Space System,5,Power Dissipation Devices
Space System,5,Rechargeable Batteries
Space System,5,Charge Control Electronics
Space System,5,Harnesses and Cables
Space System,5,EPS Other
Space System,4,Attitude Control Subsystem (ACS)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Star Tracker/Sensors 1...n (Specify)
Space System,5,Earth (Horizon) Sensors 1...n (Specify)
Space System,5,Sun Sensors 1...n (Specify)
Space System,5,Magnetometers
Space System,5,Global Positioning System (GPS) Receiver
Space System,5,Inertial Reference Unit (IRU)/Inertial Measurement Unit (IMU) 1...n (Specify)
Space System,5,Rate Gyros 1...n (Specify)
Space System,5,Accelerometers 1...n (Specify)
Space System,5,Bearing and Power Transfer Assembly (BAPTA)
Space System,5,Attitude Control Wheels 1...n (Specify)
Space System,5,Magnetic Control Devices
Space System,5,Spin Control Devices
Space System,5,Control Electronics 1...n (Specify)
Space System,5,ACS Other
Space System,4,Propulsion Subsystem 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Tanks 1...n (Specify)
Space System,5,Plumbing
Space System,5,Thrusters 1...n (Specify)
Space System,5,Solid Rocket Motors
Space System,5,Liquid Propellant and Pressurant
Space System,5,Power Electronics
Space System,5,Propulsion Other
Space System,4,Telemetry
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Antennas
Space System,5,Passive Signal Flow Control
Space System,5,Transmitter/Receiver/Transceiver/Transponder 1...n (Specify)
Space System,5,Modulators/Demodulators/Modems
Space System,5,Amplifiers
Space System,5,Frequency Upconverter/Downconverter
Space System,5,Computers and Processors 1...n (Specify)
Space System,5,Command/Telemetry Units 1...n (Specify)
Space System,5,Command Sensor or Situational Awareness Sensor 1...n (Specify)
Space System,5,Frequency and Timing
Space System,5,Signal Conditioners
Space System,5,Communications Security 1...n (Specify)
Space System,5,Data Storage
Space System,5,TT&C Other
Space System,4,Bus Flight Software
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,CSCI 1...n (Specify)
Space System,3,SEIT/PM and Support Equipment (If applicable for integration of Multiple Payloads)
Space System,4,Systems Engineering
Space System,4,Assembly
Space System,4,Program Management
Space System,4,Support Equipment
Space System,3,Payload 1...n (Specify)
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Structures and Mechanisms
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Structures
Space System,5,Mechanisms and Pyrotechnics
Space System,5,Structures and Mechanisms Other
Space System,4,Thermal Control
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Cryogenic Devices
Space System,5,Liquid Loops
Space System,5,Electric Coolers
Space System,5,Electric Heaters
Space System,5,Passive Devices
Space System,5,Sun Shields
Space System,5,Thermal Control Other
Space System,4,Electrical Power
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Power Sources
Space System,5,Power Control
Space System,5,Power Conditioning
Space System,5,Harnesses and Cables
Space System,5,Electrical Power Other
Space System,4,Pointing
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Computers and Processors 1...n (Specify)
Space System,5,Command/Telemetry Units 1...n (Specify)
Space System,5,Control Electronics 1...n (Specify)
Space System,5,Pointing Sensors 1...n (Specify)
Space System,5,Payload Positioners1...n (Specify)
Space System,5,Security
Space System,5,Data Storage
Space System,5,Multifunctional Digital Electronic Boxes 1...n (Specify)
Space System,5,Pointing
Space System,4,Payload Antenna 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Structures and Mechanisms
Space System,5,Antenna Positioners
Space System,5,Reflector/Horn 1...n (Specify)
Space System,5,Feed 1...n (Specify)
Space System,5,Waveguide/Coax/Cabling
Space System,5,Transmit/Receive Modules
Space System,5,Antenna Other
Space System,4,Payload Signal Electronics
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Passive Signal Flow Control
Space System,5,Transmitter/Receiver/Transceiver/Transponder 1...n (Specify)
Space System,5,Modulators/Demodulators/Modems 1...n (Specify)
Space System,5,Multiplexers/Demultiplexers 1...n (Specify)
Space System,5,Amplifiers 1...n (Specify)
Space System,5,Frequency Upconverters/Downconverters 1...n (Specify)
Space System,5,Frequency and Timing 1...n (Specify)
Space System,5,Signal Conditioners 1...n (Specify)
Space System,5,Multifunctional Signal Electronic Boxes 1...n (Specify)
Space System,5,Signal Electronics Other
Space System,4,Optical Assembly
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Structure/Outerbarrel/Cover
Space System,5,Mirrors/Optics 1...n (Specify)
Space System,5,Aft Optics Assembly
Space System,5,Alignment and Calibration 1...n (Specify)
Space System,5,Thermal 1...n (Specify)
Space System,5,Control Electronics 1...n (Specify)
Space System,5,Optical Assembly Other
Space System,4,Sensor
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Payload Structure 1...n (Specify)
Space System,5,Focal Plane Array 1...n (Specify)
Space System,5,Sensor Positioners 1...n (Specify)
Space System,5,Sensor Electronics 1...n (Specify)
Space System,5,Alignment and Calibration 1...n (Specify)
Space System,5,Magnetometer 1...n (Specify)
Space System,5,Spectrometer 1...n (Specify)
Space System,5,Radiometer 1...n (Specify)
Space System,5,Camera 1...n (Specify)
Space System,5,Sounder 1...n (Specify)
Space System,5,Flight Sensor Software
Space System,5,Other Sensor Types 1...n (Specify)
Space System,5,Mission Sensor Other
Space System,4,Payload Flight Software
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,CSCI 1...n (Specify)
Space System,4,Payload Other
Space System,3,Booster Adapter
Space System,3,Space Vehicle Storage
Space System,3,Launch Systems Integration (LSI)
Space System,3,Launch Operations
Space System,3,Mission Operations Support
Space System,3,Space Vehicle Other
Space System,2,Ground Segment
Space System,3,SEIT/PM and Support Equipment
Space System,4,Systems Engineering
Space System,4,Assembly
Space System,4,Program Management
Space System,4,Support Equipment
Space System,3,Ground Functions 1...n (Specify)
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,COTS Hardware 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Workstations 1...n (Specify)
Space System,5,Servers 1...n (Specify)
Space System,5,Storage and Archive 1...n (Specify)
Space System,5,Network Equipment
Space System,5,Interface Equipment
Space System,5,Security Encryption/Decryption 1...n (Specify)
Space System,5,Data Processing 1...n (Specify)
Space System,5,COTS Hardware Other
Space System,5,Pre-Operations Maintenance 1...n (Specify)
Space System,5,Environments 1...n (Specify)
Space System,4,Custom Hardware 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Custom Hardware Configured Item 1...n (Specify)
Space System,5,Pre-Operations Maintenance 1...n (Specify)
Space System,4,Ground Function Software
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,GF Software CSCI 1...n (Specify)
Space System,5,Pre-Operations Maintenance 1...n (Specify)
Space System,4,Pre-Operations Mission Support
Space System,3,Ground Terminal/Gateway (GT) 1...n (Specify)
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Antenna 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Pedestal
Space System,5,Radome
Space System,5,Other Structure and Mechanisms
Space System,5,Aperture
Space System,5,Feed 1...n (Specify)
Space System,5,Waveguide/Coax/Cabling
Space System,5,Antenna Other
Space System,4,Optical Communication Assembly 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Structure/Outerbarrel/Cover
Space System,5,Mirrors/Optics 1...n (Specify)
Space System,5,Aft Optics and Bench
Space System,5,Alignment Sensors/Calibration
Space System,5,Optical Assembly Other
Space System,4,RF Electronics Band 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Passive Signal Flow Control
Space System,5,Transmitter/Receiver/Transceiver/Transponder 1...n (Specify)
Space System,5,Modulators/Demodulators/Modems 1...n (Specify)
Space System,5,Multiplexers/Demultiplexers 1...n (Specify)
Space System,5,Power Amplifiers 1...n (Specify)
Space System,5,Frequency Upconverters/Downconverters 1...n (Specify)
Space System,5,Signal Conditioners 1...n (Specify)
Space System,5,Signal Electronic Boxes 1...n (Specify)
Space System,5,Focal Plane Array 1...n (Specify)
Space System,5,RF Electronics Other
Space System,4,Timing
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Receiver
Space System,5,Antenna 1...n (Specify)
Space System,5,Frequency and Timing Generators
Space System,5,Amplifier and Distribution 1...n (Specify)
Space System,5,Timing Other
Space System,4,Baseband-Network
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Switches/Hubs and Routers
Space System,5,Network Interface and Other Hardware
Space System,5,Modems
Space System,5,Security/Encryption and Decryption Devices 1...n (Specify)
Space System,5,Baseband-Network Electronic Boxes 1...n (Specify)
Space System,5,Baseband-Network Other
Space System,4,Monitor and Control Hardware
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Workstations 1...n (Specify)
Space System,5,Servers 1...n (Specify)
Space System,5,Storage and Archive 1...n (Specify)
Space System,5,Hardware Configured Item 1...n (Specify)
Space System,4,GT Software
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,CSCI 1...n (Specify)
Space System,4,Pre-Operations Maintenance 1...n (Specify)
Space System,4,Pre-Operations Mission Support
Space System,3,External Network (T-COMM)
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Leased Circuit 1...n (Specify)
Space System,4,Purchased Circuits
Space System,5,Purchased Circuit 1...n (Specify)
Space System,5,Pre-Operations Maintenance 1...n (Specify)
Space System,3,User Equipment
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Equipment 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Hardware Configured Item 1…n (Specify)
Space System,5,Equipment Software 1...n (Specify)
Space System,4,Pre-Operations Maintenance 1...n (Specify)
Space System,3,Facilities 1...n (Specify)
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Site Preparation
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Graded Land
Space System,5,Roads
Space System,5,Pads
Space System,5,Retaining Walls/Fencing
Space System,5,Utilities
Space System,5,Site Preparation Other
Space System,4,Landscape
Space System,4,Buildings 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Foundation and Sub Structure
Space System,5,Superstructure and Finishing
Space System,5,Buildings Other
Space System,4,Equipment and Building Fit Out 1...n (Specify)
Space System,5,SEPM
Space System,5,Assembly
Space System,5,Support Equipment
Space System,5,Heating Venting and Air Conditioning (HVAC)
Space System,5,Power Conditioning/UPS
Space System,5,Network Wiring/Cable Trays
Space System,5,Generators
Space System,5,Computer Flooring
Space System,5,Appliances
Space System,5,Furniture
Space System,5,Fire Protection
Space System,5,Security Systems
Space System,5,Equipment and Building Fit Out Other
Space System,4,Pre-Operations Maintenance 1...n (Specify)
Space System,3,Vehicles and Shelters
Space System,4,SEIT/PM and Support Equipment
Space System,5,Systems Engineering
Space System,5,Assembly
Space System,5,Program Management
Space System,5,Support Equipment
Space System,4,Vehicles 1...n (Specify)
Space System,4,Shelters 1...n (Specify)
Space System,4,Pre-Operations Maintenance 1...n (Specify)
Space System,2,Orbital Transfer Vehicle (OTV)
Space System,2,Launch Vehicle 1...n (Specify) (See Appendix I for WBS breakout)
Design/Build Project,1,WBS for Government-sponsored Design-Bid-Build Project
Design/Build Project,2,Phase 1: Prospectus  
Design/Build Project,3,Project Management Plans for Phase 1
Design/Build Project,3,Description of Customer Needs
Design/Build Project,3,Preliminary Plans of Alternatives
Design/Build Project,3,Estimates for Alternatives
Design/Build Project,3,Cost/Benefit Analysis
Design/Build Project,3,Report
Design/Build Project,2,Phase 2: Selected Alternative (may be combined with Phase 1
Design/Build Project,3,Project Management Plans for Phase 2 (seven plans
Design/Build Project,3,Environmental Studies
Design/Build Project,3,More Detailed Plans of Alternatives
Design/Build Project,3,Estimates for Alternatives
Design/Build Project,3,Draft Report
Design/Build Project,3,Final Report
Design/Build Project,2,Phase 3: Real Property
Design/Build Project,3,Project Management Plans for Phase 3 (seven plans
Design/Build Project,3,Appraisal
Design/Build Project,3,Acquisition
Design/Build Project,3,Relocation of Occupants
Design/Build Project,3,Demolition
Design/Build Project,3,Relocation of Utilities
Design/Build Project,3,Hazardous Waste Removal
Design/Build Project,3,Environmental Mitigation
Design/Build Project,2,Phase 4: Contract Award Documents
Design/Build Project,3,Project Management Plans for Phase 4 (seven plans
Design/Build Project,3,Detailed Plans of Selected Alternative
Design/Build Project,3,Specifications
Design/Build Project,3,Estimate
Design/Build Project,3,Bid Documents
Design/Build Project,3,Signed Contract
Design/Build Project,2,Phase 5: Physical Improvement (construction)
Design/Build Project,3,Project Management Plans for Phase 5 (seven plans
Design/Build Project,3,Civil Work
Design/Build Project,3,Water Supply
Design/Build Project,3,Structural Work
Design/Build Project,3,Furnishings
Ground Vehicle,1,WBS for MIL-STD-811f Appendix G: Ground Vehicle System
Ground Vehicle,2,Family of Vehicles
Ground Vehicle,3,Lead Variant
Ground Vehicle,4,Lead Variant Integration
Ground Vehicle,4,Hull/Frame/Body/Cab
Ground Vehicle,4,System Survivability
Ground Vehicle,4,Turret Assembly
Ground Vehicle,4,Suspension/Steering
Ground Vehicle,4,Vehicle Electronics
Ground Vehicle,4,Power Package/Drive Train
Ground Vehicle,4,Auxiliary Automotive
Ground Vehicle,4,Fire Control
Ground Vehicle,4,Armament
Ground Vehicle,4,Automatic Ammunition Handling
Ground Vehicle,4,Navigation and Remote Piloting Systems
Ground Vehicle,4,Special Equipment
Ground Vehicle,4,Communications
Ground Vehicle,4,Lead Variant Software Release 1...n (Specify)
Ground Vehicle,4,Other Lead Variant Subsystems 1...n (Specify)
Ground Vehicle,3,Variant 2...n (Specify)
Ground Vehicle,4,Variant Integration
Ground Vehicle,4,Hull/Frame/Body/Cab
Ground Vehicle,4,System Survivability
Ground Vehicle,4,Turret Assembly
Ground Vehicle,4,Suspension/Steering
Ground Vehicle,4,Vehicle Electronics
Ground Vehicle,4,Power Package/Drive Train
Ground Vehicle,4,Auxiliary Automotive
Ground Vehicle,4,Fire Control
Ground Vehicle,4,Armament
Ground Vehicle,4,Automatic Ammunition Handling
Ground Vehicle,4,Navigation and Remote Piloting Systems
Ground Vehicle,4,Special Equipment
Ground Vehicle,4,Communications
Ground Vehicle,4,Variant Software Release 1...n (Specify)
Ground Vehicle,4,Other Variant Subsystems 1...n (Specify)
Ground Vehicle,3,Equipment Kits 1...n (Specify)
Ground Vehicle,2,Secondary Vehicle (See Note at G.4.3)
Ground Vehicle,2,Systems Engineering
Ground Vehicle,3,Software Systems Engineering
Ground Vehicle,3,Integrated Logistics Support (ILS) Systems Engineering
Ground Vehicle,3,Cybersecurity Systems Engineering
Ground Vehicle,3,Core Systems Engineering
Ground Vehicle,3,Other Systems Engineering 1...n (Specify)
Ground Vehicle,2,Program Management
Ground Vehicle,3,Software Program Management
Ground Vehicle,3,Integrated Logistics Support (ILS) Program Management
Ground Vehicle,3,Cybersecurity Management
Ground Vehicle,3,Core Program Management
Ground Vehicle,3,Other Program Management 1...n (Specify)
Ground Vehicle,2,System Test and Evaluation
Ground Vehicle,3,Developmental Test and Evaluation
Ground Vehicle,4,Cybersecurity Test and Evaluation
Ground Vehicle,4,Other DT&E Tests 1…n (Specify)
Ground Vehicle,3,Operational Test and Evaluation
Ground Vehicle,4,Cybersecurity Test and Evaluation
Ground Vehicle,4,Other OT&E Tests 1…n (Specify)
Ground Vehicle,3,Live Fire Test and Evaluation
Ground Vehicle,3,Mock-ups/System Integration Labs (SILs)
Ground Vehicle,3,Test and Evaluation Support
Ground Vehicle,3,Test Facilities
Ground Vehicle,2,Training
Ground Vehicle,3,Equipment
Ground Vehicle,4,Operator Instructional Equipment
Ground Vehicle,4,Maintainer Instructional Equipment
Ground Vehicle,3,Services
Ground Vehicle,4,Operator Instructional Services
Ground Vehicle,4,Maintainer Instructional Services
Ground Vehicle,3,Facilities
Ground Vehicle,3,Training Software 1...n (Specify)
Ground Vehicle,2,Data
Ground Vehicle,3,Data Deliverables 1...n (Specify)
Ground Vehicle,3,Data Repository
Ground Vehicle,3,Data Rights 1...n (Specify)
Ground Vehicle,2,Peculiar Support Equipment
Ground Vehicle,3,Test and Measurement Equipment
Ground Vehicle,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Ground Vehicle,4,Test and Measurement Equipment (Propulsion)
Ground Vehicle,4,Test and Measurement Equipment (Electronics/Avionics)
Ground Vehicle,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Ground Vehicle,3,Support and Handling Equipment
Ground Vehicle,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Ground Vehicle,4,Support and Handling Equipment (Propulsion)
Ground Vehicle,4,Support and Handling Equipment (Electronics/Avionics)
Ground Vehicle,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Ground Vehicle,2,Common Support Equipment
Ground Vehicle,3,Test and Measurement Equipment
Ground Vehicle,4,Test and Measurement Equipment (Airframe/Hull/Vehicle)
Ground Vehicle,4,Test and Measurement Equipment (Propulsion)
Ground Vehicle,4,Test and Measurement Equipment (Electronics/Avionics)
Ground Vehicle,4,Test and Measurement Equipment (Other Major Subsystems 1...n (Specify))
Ground Vehicle,3,Support and Handling Equipment
Ground Vehicle,4,Support and Handling Equipment (Airframe/Hull/Vehicle)
Ground Vehicle,4,Support and Handling Equipment (Propulsion)
Ground Vehicle,4,Support and Handling Equipment (Electronics/Avionics)
Ground Vehicle,4,Support and Handling Equipment (Other Major Subsystems 1...n (Specify))
Ground Vehicle,2,Operational/Site Activation by Site 1...n (Specify)
Ground Vehicle,3,System Assembly
Ground Vehicle,3,Contractor Technical Support
Ground Vehicle,3,Site Construction
Ground Vehicle,3,Site/Ship/Vehicle Conversion
Ground Vehicle,3,Interim Contractor Support
Ground Vehicle,2,Contractor Logistics Support (CLS)
Ground Vehicle,2,Industrial Facilities
Ground Vehicle,3,Construction/Conversion/Expansion
Ground Vehicle,3,Equipment Acquisition or Modernization
Ground Vehicle,3,Maintenance (Industrial Facilities)
Ground Vehicle,2,Initial Spares and Repair Parts
Unmanned Maritime System,1,WBS for MIL-STD-811f Appendix H: Unmanned Maritime System
Unmanned Maritime System,2,UMS Integration
Unmanned Maritime System,2,Maritime Vehicle
Unmanned Maritime System,3,Vehicle Integration
Unmanned Maritime System,3,Hull and Structure
Unmanned Maritime System,3,Propulsion
Unmanned Maritime System,3,Energy/Storage/Conversion
Unmanned Maritime System,3,Electrical Power
Unmanned Maritime System,3,Vehicle Command and Control
Unmanned Maritime System,4,Vehicle Command and Control Integration
